record_id,source,source_type,published_at,week_start,language,engagement,trend_tag,text_clean
mock_22,business_of_fashion,news,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,394,clean_girl_makeup,minimal makeup ideas #0 clean girl trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_23,instagram,social,2025-09-02T04:03:43.118395+00:00,2025-09-01,en,301,graphic_editorial_liner,graphic liner ideas #0 floating liner trend is growing. look from instagram with seasonal beauty focus.
mock_24,instagram,social,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,385,fox_eye_siren_eye,siren eyes ideas #0 siren eyes trend is growing. look from instagram with seasonal beauty focus.
mock_25,vogue,news,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,81,graphic_editorial_liner,graphic liner ideas #0 graphic liner trend is growing. look from vogue with seasonal beauty focus.
mock_26,pinterest,social,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,321,fox_eye_siren_eye,fox eye ideas #0 fox eye trend is growing. look from pinterest with seasonal beauty focus.
mock_27,instagram,social,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,189,glass_skin,glass skin ideas #0 glowy base trend is growing. look from instagram with seasonal beauty focus.
mock_28,vogue,news,2025-08-29T04:03:43.118395+00:00,2025-08-25,en,390,euphoria_glitter_liner,rhinestone eyes ideas #0 rhinestone eyes trend is growing. look from vogue with seasonal beauty focus.
mock_29,vogue,news,2025-09-03T04:03:43.118395+00:00,2025-09-01,en,117,strawberry_girl_blush,strawberry girl ideas #0 strawberry girl trend is growing. look from vogue with seasonal beauty focus.
mock_30,tiktok,social,2025-08-31T04:03:43.118395+00:00,2025-08-25,en,259,strawberry_girl_blush,douyin blush ideas #0 strawberry girl trend is growing. look from tiktok with seasonal beauty focus.
mock_31,pinterest,social,2025-08-31T04:03:43.118395+00:00,2025-08-25,en,75,latte_makeup,latte makeup ideas #0 latte makeup trend is growing. look from pinterest with seasonal beauty focus.
mock_32,instagram,social,2025-08-31T04:03:43.118395+00:00,2025-08-25,en,162,euphoria_glitter_liner,glitter liner ideas #0 euphoria makeup trend is growing. look from instagram with seasonal beauty focus.
mock_33,business_of_fashion,news,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,353,glass_skin,glowy base ideas #0 glass skin trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_34,instagram,social,2025-08-31T04:03:43.118395+00:00,2025-08-25,en,266,graphic_editorial_liner,graphic liner ideas #0 floating liner trend is growing. look from instagram with seasonal beauty focus.
mock_35,vogue,news,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,155,strawberry_girl_blush,fruit blush ideas #0 fruit blush trend is growing. look from vogue with seasonal beauty focus.
mock_36,instagram,social,2025-08-29T04:03:43.118395+00:00,2025-08-25,en,131,cherry_cola_lips,cherry cola lips ideas #0 90s lip combo trend is growing. look from instagram with seasonal beauty focus.
mock_37,tiktok,social,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,319,glass_skin,dewy skin ideas #0 glowy base trend is growing. look from tiktok with seasonal beauty focus.
mock_38,pinterest,social,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,115,clean_girl_makeup,clean girl ideas #0 no makeup makeup trend is growing. look from pinterest with seasonal beauty focus.
mock_39,vogue,news,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,316,fox_eye_siren_eye,winged liner lift ideas #0 fox eye trend is growing. look from vogue with seasonal beauty focus.
mock_40,vogue,news,2025-09-02T04:03:43.118395+00:00,2025-09-01,en,153,latte_makeup,latte makeup ideas #0 soft brown eyes trend is growing. look from vogue with seasonal beauty focus.
mock_41,instagram,social,2025-08-30T04:03:43.118395+00:00,2025-08-25,en,87,strawberry_girl_blush,douyin blush ideas #0 douyin blush trend is growing. look from instagram with seasonal beauty focus.
mock_42,tiktok,social,2025-09-03T04:03:43.118395+00:00,2025-09-01,en,24,clean_girl_makeup,minimal makeup ideas #0 no makeup makeup trend is growing. look from tiktok with seasonal beauty focus.
mock_43,pinterest,social,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,279,fox_eye_siren_eye,siren eyes ideas #0 fox eye trend is growing. look from pinterest with seasonal beauty focus.
mock_44,instagram,social,2025-08-30T04:03:43.118395+00:00,2025-08-25,en,100,cherry_cola_lips,dark liner lips ideas #0 90s lip combo trend is growing. look from instagram with seasonal beauty focus.
mock_45,business_of_fashion,news,2025-09-03T04:03:43.118395+00:00,2025-09-01,en,361,glass_skin,glowy base ideas #0 dewy skin trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_46,instagram,social,2025-08-30T04:03:43.118395+00:00,2025-08-25,en,74,clean_girl_makeup,no makeup makeup ideas #0 no makeup makeup trend is growing. look from instagram with seasonal beauty focus.
mock_47,tiktok,social,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,387,fox_eye_siren_eye,siren eyes ideas #0 fox eye trend is growing. look from tiktok with seasonal beauty focus.
mock_48,business_of_fashion,news,2025-08-31T04:03:43.118395+00:00,2025-08-25,en,46,cherry_cola_lips,cherry cola lips ideas #0 90s lip combo trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_49,pinterest,social,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,86,latte_makeup,soft brown eyes ideas #0 warm neutrals trend is growing. look from pinterest with seasonal beauty focus.
mock_50,business_of_fashion,news,2025-09-09T04:03:43.118395+00:00,2025-09-08,en,307,strawberry_girl_blush,strawberry girl ideas #1 strawberry girl trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_51,business_of_fashion,news,2025-09-04T04:03:43.118395+00:00,2025-09-01,en,318,latte_makeup,soft brown eyes ideas #1 latte makeup trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_52,pinterest,social,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,40,latte_makeup,warm neutrals ideas #1 latte makeup trend is growing. look from pinterest with seasonal beauty focus.
mock_53,pinterest,social,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,337,strawberry_girl_blush,douyin blush ideas #1 strawberry girl trend is growing. look from pinterest with seasonal beauty focus.
mock_54,instagram,social,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,111,glass_skin,glowy base ideas #1 dewy skin trend is growing. look from instagram with seasonal beauty focus.
mock_55,tiktok,social,2025-09-05T04:03:43.118395+00:00,2025-09-01,en,215,clean_girl_makeup,clean girl ideas #1 minimal makeup trend is growing. look from tiktok with seasonal beauty focus.
mock_56,vogue,news,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,136,cherry_cola_lips,cherry cola lips ideas #1 cherry cola lips trend is growing. look from vogue with seasonal beauty focus.
mock_57,vogue,news,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,55,cherry_cola_lips,dark liner lips ideas #1 dark liner lips trend is growing. look from vogue with seasonal beauty focus.
mock_58,business_of_fashion,news,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,79,glass_skin,dewy skin ideas #1 glass skin trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_59,pinterest,social,2025-09-04T04:03:43.118395+00:00,2025-09-01,en,196,strawberry_girl_blush,douyin blush ideas #1 fruit blush trend is growing. look from pinterest with seasonal beauty focus.
mock_60,vogue,news,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,150,fox_eye_siren_eye,fox eye ideas #1 winged liner lift trend is growing. look from vogue with seasonal beauty focus.
mock_61,business_of_fashion,news,2025-09-10T04:03:43.118395+00:00,2025-09-08,en,206,fox_eye_siren_eye,siren eyes ideas #1 fox eye trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_62,business_of_fashion,news,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,388,clean_girl_makeup,minimal makeup ideas #1 no makeup makeup trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_63,tiktok,social,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,303,cherry_cola_lips,cherry cola lips ideas #1 cherry cola lips trend is growing. look from tiktok with seasonal beauty focus.
mock_64,instagram,social,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,227,cherry_cola_lips,90s lip combo ideas #1 cherry cola lips trend is growing. look from instagram with seasonal beauty focus.
mock_65,instagram,social,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,258,latte_makeup,warm neutrals ideas #1 warm neutrals trend is growing. look from instagram with seasonal beauty focus.
mock_66,business_of_fashion,news,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,357,euphoria_glitter_liner,euphoria makeup ideas #1 glitter liner trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_67,pinterest,social,2025-09-10T04:03:43.118395+00:00,2025-09-08,en,364,fox_eye_siren_eye,siren eyes ideas #1 fox eye trend is growing. look from pinterest with seasonal beauty focus.
mock_68,pinterest,social,2025-09-04T04:03:43.118395+00:00,2025-09-01,en,263,fox_eye_siren_eye,winged liner lift ideas #1 fox eye trend is growing. look from pinterest with seasonal beauty focus.
mock_69,business_of_fashion,news,2025-09-05T04:03:43.118395+00:00,2025-09-01,en,273,strawberry_girl_blush,fruit blush ideas #1 strawberry girl trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_70,pinterest,social,2025-09-10T04:03:43.118395+00:00,2025-09-08,en,132,strawberry_girl_blush,strawberry girl ideas #1 douyin blush trend is growing. look from pinterest with seasonal beauty focus.
mock_71,pinterest,social,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,82,fox_eye_siren_eye,siren eyes ideas #1 fox eye trend is growing. look from pinterest with seasonal beauty focus.
mock_72,vogue,news,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,300,strawberry_girl_blush,fruit blush ideas #1 strawberry girl trend is growing. look from vogue with seasonal beauty focus.
mock_73,vogue,news,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,346,fox_eye_siren_eye,siren eyes ideas #1 winged liner lift trend is growing. look from vogue with seasonal beauty focus.
mock_74,tiktok,social,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,385,clean_girl_makeup,minimal makeup ideas #1 clean girl trend is growing. look from tiktok with seasonal beauty focus.
mock_75,tiktok,social,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,90,clean_girl_makeup,clean girl ideas #1 clean girl trend is growing. look from tiktok with seasonal beauty focus.
mock_76,instagram,social,2025-09-04T04:03:43.118395+00:00,2025-09-01,en,228,strawberry_girl_blush,fruit blush ideas #1 douyin blush trend is growing. look from instagram with seasonal beauty focus.
mock_77,pinterest,social,2025-09-05T04:03:43.118395+00:00,2025-09-01,en,219,strawberry_girl_blush,douyin blush ideas #1 douyin blush trend is growing. look from pinterest with seasonal beauty focus.
mock_78,vogue,news,2025-09-04T04:03:43.118395+00:00,2025-09-01,en,172,latte_makeup,warm neutrals ideas #1 warm neutrals trend is growing. look from vogue with seasonal beauty focus.
mock_79,vogue,news,2025-09-05T04:03:43.118395+00:00,2025-09-01,en,243,cherry_cola_lips,dark liner lips ideas #1 cherry cola lips trend is growing. look from vogue with seasonal beauty focus.
mock_80,vogue,news,2025-09-09T04:03:43.118395+00:00,2025-09-08,en,259,euphoria_glitter_liner,euphoria makeup ideas #1 rhinestone eyes trend is growing. look from vogue with seasonal beauty focus.
mock_81,vogue,news,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,62,glass_skin,glowy base ideas #1 dewy skin trend is growing. look from vogue with seasonal beauty focus.
mock_82,instagram,social,2025-09-04T04:03:43.118395+00:00,2025-09-01,en,214,cherry_cola_lips,dark liner lips ideas #1 cherry cola lips trend is growing. look from instagram with seasonal beauty focus.
mock_83,tiktok,social,2025-09-10T04:03:43.118395+00:00,2025-09-08,en,162,strawberry_girl_blush,fruit blush ideas #1 fruit blush trend is growing. look from tiktok with seasonal beauty focus.
mock_84,pinterest,social,2025-09-09T04:03:43.118395+00:00,2025-09-08,en,199,glass_skin,glass skin ideas #1 glowy base trend is growing. look from pinterest with seasonal beauty focus.
mock_85,pinterest,social,2025-09-05T04:03:43.118395+00:00,2025-09-01,en,30,fox_eye_siren_eye,winged liner lift ideas #1 fox eye trend is growing. look from pinterest with seasonal beauty focus.
mock_86,vogue,news,2025-09-09T04:03:43.118395+00:00,2025-09-08,en,308,clean_girl_makeup,clean girl ideas #1 minimal makeup trend is growing. look from vogue with seasonal beauty focus.
mock_87,tiktok,social,2025-09-05T04:03:43.118395+00:00,2025-09-01,en,103,clean_girl_makeup,minimal makeup ideas #1 clean girl trend is growing. look from tiktok with seasonal beauty focus.
mock_88,tiktok,social,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,223,strawberry_girl_blush,douyin blush ideas #1 strawberry girl trend is growing. look from tiktok with seasonal beauty focus.
mock_89,pinterest,social,2025-09-09T04:03:43.118395+00:00,2025-09-08,en,370,cherry_cola_lips,90s lip combo ideas #1 cherry cola lips trend is growing. look from pinterest with seasonal beauty focus.
mock_90,tiktok,social,2025-09-08T04:03:43.118395+00:00,2025-09-08,en,358,strawberry_girl_blush,fruit blush ideas #1 strawberry girl trend is growing. look from tiktok with seasonal beauty focus.
mock_91,pinterest,social,2025-09-10T04:03:43.118395+00:00,2025-09-08,en,270,strawberry_girl_blush,strawberry girl ideas #1 fruit blush trend is growing. look from pinterest with seasonal beauty focus.
mock_92,instagram,social,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,395,euphoria_glitter_liner,rhinestone eyes ideas #1 rhinestone eyes trend is growing. look from instagram with seasonal beauty focus.
mock_93,vogue,news,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,185,cherry_cola_lips,cherry cola lips ideas #1 cherry cola lips trend is growing. look from vogue with seasonal beauty focus.
mock_94,instagram,social,2025-09-10T04:03:43.118395+00:00,2025-09-08,en,311,graphic_editorial_liner,negative space liner ideas #1 negative space liner trend is growing. look from instagram with seasonal beauty focus.
mock_95,pinterest,social,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,113,latte_makeup,warm neutrals ideas #1 latte makeup trend is growing. look from pinterest with seasonal beauty focus.
mock_96,tiktok,social,2025-09-06T04:03:43.118395+00:00,2025-09-01,en,304,cherry_cola_lips,cherry cola lips ideas #1 90s lip combo trend is growing. look from tiktok with seasonal beauty focus.
mock_97,instagram,social,2025-09-09T04:03:43.118395+00:00,2025-09-08,en,270,strawberry_girl_blush,douyin blush ideas #1 strawberry girl trend is growing. look from instagram with seasonal beauty focus.
mock_98,vogue,news,2025-09-07T04:03:43.118395+00:00,2025-09-01,en,67,glass_skin,dewy skin ideas #1 glass skin trend is growing. look from vogue with seasonal beauty focus.
mock_99,tiktok,social,2025-09-09T04:03:43.118395+00:00,2025-09-08,en,262,latte_makeup,soft brown eyes ideas #1 soft brown eyes trend is growing. look from tiktok with seasonal beauty focus.
mock_100,business_of_fashion,news,2025-09-13T04:03:43.118395+00:00,2025-09-08,en,379,latte_makeup,warm neutrals ideas #2 warm neutrals trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_101,instagram,social,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,181,fox_eye_siren_eye,fox eye ideas #2 winged liner lift trend is growing. look from instagram with seasonal beauty focus.
mock_102,instagram,social,2025-09-12T04:03:43.118395+00:00,2025-09-08,en,161,graphic_editorial_liner,negative space liner ideas #2 negative space liner trend is growing. look from instagram with seasonal beauty focus.
mock_103,pinterest,social,2025-09-17T04:03:43.118395+00:00,2025-09-15,en,171,fox_eye_siren_eye,fox eye ideas #2 siren eyes trend is growing. look from pinterest with seasonal beauty focus.
mock_104,pinterest,social,2025-09-16T04:03:43.118395+00:00,2025-09-15,en,160,euphoria_glitter_liner,euphoria makeup ideas #2 euphoria makeup trend is growing. look from pinterest with seasonal beauty focus.
mock_105,instagram,social,2025-09-16T04:03:43.118395+00:00,2025-09-15,en,72,graphic_editorial_liner,graphic liner ideas #2 negative space liner trend is growing. look from instagram with seasonal beauty focus.
mock_106,vogue,news,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,114,latte_makeup,latte makeup ideas #2 warm neutrals trend is growing. look from vogue with seasonal beauty focus.
mock_107,pinterest,social,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,57,graphic_editorial_liner,negative space liner ideas #2 negative space liner trend is growing. look from pinterest with seasonal beauty focus.
mock_108,instagram,social,2025-09-12T04:03:43.118395+00:00,2025-09-08,en,63,cherry_cola_lips,cherry cola lips ideas #2 cherry cola lips trend is growing. look from instagram with seasonal beauty focus.
mock_109,business_of_fashion,news,2025-09-15T04:03:43.118395+00:00,2025-09-15,en,287,fox_eye_siren_eye,siren eyes ideas #2 siren eyes trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_110,business_of_fashion,news,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,311,cherry_cola_lips,90s lip combo ideas #2 cherry cola lips trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_111,instagram,social,2025-09-16T04:03:43.118395+00:00,2025-09-15,en,155,fox_eye_siren_eye,winged liner lift ideas #2 fox eye trend is growing. look from instagram with seasonal beauty focus.
mock_112,instagram,social,2025-09-15T04:03:43.118395+00:00,2025-09-15,en,100,clean_girl_makeup,clean girl ideas #2 minimal makeup trend is growing. look from instagram with seasonal beauty focus.
mock_113,tiktok,social,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,167,fox_eye_siren_eye,winged liner lift ideas #2 siren eyes trend is growing. look from tiktok with seasonal beauty focus.
mock_114,pinterest,social,2025-09-16T04:03:43.118395+00:00,2025-09-15,en,155,fox_eye_siren_eye,winged liner lift ideas #2 winged liner lift trend is growing. look from pinterest with seasonal beauty focus.
mock_115,vogue,news,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,351,fox_eye_siren_eye,fox eye ideas #2 siren eyes trend is growing. look from vogue with seasonal beauty focus.
mock_116,pinterest,social,2025-09-12T04:03:43.118395+00:00,2025-09-08,en,324,cherry_cola_lips,90s lip combo ideas #2 90s lip combo trend is growing. look from pinterest with seasonal beauty focus.
mock_117,pinterest,social,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,378,cherry_cola_lips,dark liner lips ideas #2 dark liner lips trend is growing. look from pinterest with seasonal beauty focus.
mock_118,vogue,news,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,241,glass_skin,glowy base ideas #2 dewy skin trend is growing. look from vogue with seasonal beauty focus.
mock_119,pinterest,social,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,365,fox_eye_siren_eye,winged liner lift ideas #2 winged liner lift trend is growing. look from pinterest with seasonal beauty focus.
mock_120,business_of_fashion,news,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,260,euphoria_glitter_liner,rhinestone eyes ideas #2 rhinestone eyes trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_121,instagram,social,2025-09-15T04:03:43.118395+00:00,2025-09-15,en,345,strawberry_girl_blush,fruit blush ideas #2 strawberry girl trend is growing. look from instagram with seasonal beauty focus.
mock_122,vogue,news,2025-09-13T04:03:43.118395+00:00,2025-09-08,en,363,latte_makeup,latte makeup ideas #2 latte makeup trend is growing. look from vogue with seasonal beauty focus.
mock_123,vogue,news,2025-09-13T04:03:43.118395+00:00,2025-09-08,en,301,strawberry_girl_blush,strawberry girl ideas #2 fruit blush trend is growing. look from vogue with seasonal beauty focus.
mock_124,tiktok,social,2025-09-13T04:03:43.118395+00:00,2025-09-08,en,226,clean_girl_makeup,no makeup makeup ideas #2 clean girl trend is growing. look from tiktok with seasonal beauty focus.
mock_125,vogue,news,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,285,fox_eye_siren_eye,siren eyes ideas #2 winged liner lift trend is growing. look from vogue with seasonal beauty focus.
mock_126,pinterest,social,2025-09-12T04:03:43.118395+00:00,2025-09-08,en,301,cherry_cola_lips,cherry cola lips ideas #2 dark liner lips trend is growing. look from pinterest with seasonal beauty focus.
mock_127,pinterest,social,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,383,fox_eye_siren_eye,fox eye ideas #2 siren eyes trend is growing. look from pinterest with seasonal beauty focus.
mock_128,business_of_fashion,news,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,135,clean_girl_makeup,clean girl ideas #2 minimal makeup trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_129,vogue,news,2025-09-16T04:03:43.118395+00:00,2025-09-15,en,280,cherry_cola_lips,90s lip combo ideas #2 dark liner lips trend is growing. look from vogue with seasonal beauty focus.
mock_130,vogue,news,2025-09-12T04:03:43.118395+00:00,2025-09-08,en,302,graphic_editorial_liner,graphic liner ideas #2 floating liner trend is growing. look from vogue with seasonal beauty focus.
mock_131,pinterest,social,2025-09-13T04:03:43.118395+00:00,2025-09-08,en,194,strawberry_girl_blush,douyin blush ideas #2 fruit blush trend is growing. look from pinterest with seasonal beauty focus.
mock_132,tiktok,social,2025-09-17T04:03:43.118395+00:00,2025-09-15,en,96,graphic_editorial_liner,floating liner ideas #2 negative space liner trend is growing. look from tiktok with seasonal beauty focus.
mock_133,tiktok,social,2025-09-15T04:03:43.118395+00:00,2025-09-15,en,253,strawberry_girl_blush,fruit blush ideas #2 strawberry girl trend is growing. look from tiktok with seasonal beauty focus.
mock_134,business_of_fashion,news,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,230,fox_eye_siren_eye,fox eye ideas #2 siren eyes trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_135,vogue,news,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,273,euphoria_glitter_liner,euphoria makeup ideas #2 euphoria makeup trend is growing. look from vogue with seasonal beauty focus.
mock_136,pinterest,social,2025-09-17T04:03:43.118395+00:00,2025-09-15,en,71,graphic_editorial_liner,negative space liner ideas #2 floating liner trend is growing. look from pinterest with seasonal beauty focus.
mock_137,vogue,news,2025-09-17T04:03:43.118395+00:00,2025-09-15,en,58,euphoria_glitter_liner,glitter liner ideas #2 glitter liner trend is growing. look from vogue with seasonal beauty focus.
mock_138,pinterest,social,2025-09-17T04:03:43.118395+00:00,2025-09-15,en,365,latte_makeup,soft brown eyes ideas #2 warm neutrals trend is growing. look from pinterest with seasonal beauty focus.
mock_139,business_of_fashion,news,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,140,clean_girl_makeup,no makeup makeup ideas #2 no makeup makeup trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_140,pinterest,social,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,344,clean_girl_makeup,no makeup makeup ideas #2 clean girl trend is growing. look from pinterest with seasonal beauty focus.
mock_141,tiktok,social,2025-09-11T04:03:43.118395+00:00,2025-09-08,en,186,glass_skin,glass skin ideas #2 dewy skin trend is growing. look from tiktok with seasonal beauty focus.
mock_142,vogue,news,2025-09-12T04:03:43.118395+00:00,2025-09-08,en,291,fox_eye_siren_eye,siren eyes ideas #2 winged liner lift trend is growing. look from vogue with seasonal beauty focus.
mock_143,instagram,social,2025-09-12T04:03:43.118395+00:00,2025-09-08,en,332,clean_girl_makeup,minimal makeup ideas #2 no makeup makeup trend is growing. look from instagram with seasonal beauty focus.
mock_144,vogue,news,2025-09-15T04:03:43.118395+00:00,2025-09-15,en,138,euphoria_glitter_liner,glitter liner ideas #2 rhinestone eyes trend is growing. look from vogue with seasonal beauty focus.
mock_145,tiktok,social,2025-09-16T04:03:43.118395+00:00,2025-09-15,en,258,glass_skin,dewy skin ideas #2 glowy base trend is growing. look from tiktok with seasonal beauty focus.
mock_146,pinterest,social,2025-09-14T04:03:43.118395+00:00,2025-09-08,en,320,latte_makeup,warm neutrals ideas #2 soft brown eyes trend is growing. look from pinterest with seasonal beauty focus.
